condition,goal,group,session,drug,subject,trial,day,loc_1,loc_2,obj,loc_1_time,loc_2_time,total,start_time,comments,run_nr,originalnr
od,UL,1,1,0,32365,1,Mon,UL,LR,2,,,,,,1,1
od,UL,1,1,0,32365,2,Mon,UL,LR,12,,,,,,2,2
od,UL,1,1,0,32365,3,Mon,UL,LR,15,,,,,,3,3
od,UL,1,1,0,32365,4,Mon,UL,LR,25,,,,,,4,4
od,UL,1,1,0,32365,5,Mon,UL,LR,5,,,,,,5,5
or,LR,1,1,0,32364,1,Mon,LR,LL,2,,,,,,6,6
or,LR,1,1,0,32364,2,Mon,LR,UR,12,,,,,,7,7
or,LR,1,1,0,32364,3,Mon,LR,UL,15,,,,,,8,8
or,LR,1,1,0,32364,4,Mon,LR,LL,25,,,,,,9,9
or,LR,1,1,0,32364,5,Mon,LR,UR,5,,,,,,10,10
con,,1,1,0,32363,1,Mon,UL,LR,2,,,,,,11,11
con,,1,1,0,32363,2,Mon,UL,LL,12,,,,,,12,12
con,,1,1,0,32363,3,Mon,LL,LR,15,,,,,,13,13
con,,1,1,0,32363,4,Mon,UR,LR,25,,,,,,14,14
con,,1,1,0,32363,5,Mon,UL,LL,5,,,,,,15,15
od,LR,1,1,0,32366,1,Mon,LR,LL,2,,,,,,16,16
od,LR,1,1,0,32366,2,Mon,LR,LL,12,,,,,,17,17
od,LR,1,1,0,32366,3,Mon,LR,LL,15,,,,,,18,18
od,LR,1,1,0,32366,4,Mon,LR,LL,25,,,,,,19,19
od,LR,1,1,0,32366,5,Mon,LR,LL,5,,,,,,20,20
od,UL,1,1,0,32365,6,Tue,UL,LR,16,,,,,,21,21
od,UL,1,1,0,32365,7,Tue,UL,LR,26,,,,,,22,22
od,UL,1,1,0,32365,8,Tue,UL,LR,31,,,,,,23,23
od,UL,1,1,0,32365,9,Tue,UL,LR,6,,,,,,24,24
od,UL,1,1,0,32365,10,Tue,UL,LR,17,,,,,,25,25
or,LR,1,1,0,32364,6,Tue,LR,UR,16,,,,,,26,26
or,LR,1,1,0,32364,7,Tue,LR,UL,26,,,,,,27,27
or,LR,1,1,0,32364,8,Tue,LR,LL,31,,,,,,28,28
or,LR,1,1,0,32364,9,Tue,LR,LL,6,,,,,,29,29
or,LR,1,1,0,32364,10,Tue,LR,UR,17,,,,,,30,30
con,,1,1,0,32363,6,Tue,LL,UR,16,,,,,,31,31
con,,1,1,0,32363,7,Tue,UL,UR,26,,,,,,32,32
con,,1,1,0,32363,8,Tue,LR,UR,31,,,,,,33,33
con,,1,1,0,32363,9,Tue,UL,LL,6,,,,,,34,34
con,,1,1,0,32363,10,Tue,LL,LR,17,,,,,,35,35
od,LR,1,1,0,32366,6,Tue,LR,LL,16,,,,,,36,36
