wall_time,trial_time,frame,sequence_nr,type,start_stop
1499674520.8488286,0.0,512.0,1.0,TR,True
1499674521.0592608,0.210433,516.0,1.0,UL,True
1499674521.8123002,0.9634719999999999,528.0,1.0,UL,False
1499674526.29246,5.443632,602.0,1.0,LR,True
1499674526.9178865,6.069058,612.0,1.0,LR,False
1499674530.255854,9.407026,667.0,1.0,LR,True
1499674532.1420279,11.293199000000001,698.0,1.0,LR,False
1499674535.8912811,15.042453,760.0,1.0,UL,True
1499674536.1738224,15.324994,764.0,1.0,UL,False
1499674536.6536856,15.804857,772.0,1.0,UL,True
1499674537.2550845,16.406256,782.0,1.0,UL,False
1499674555.7156045,34.866776,1086.0,1.0,UL,True
1499674556.3339095,35.485081,1096.0,1.0,UL,False
1499674557.423373,36.574545,1114.0,1.0,UL,True
1499674558.013988,37.165159,1123.0,1.0,UL,False
1499674568.3190825,47.470254,1293.0,1.0,UL,True
1499674568.7501945,47.901365999999996,1300.0,1.0,UL,False
1499674573.6017895,52.752961,1380.0,1.0,LR,True
1499674574.2132616,53.363907999999995,1390.0,1.0,LR,False
1499674575.245952,54.397124,1407.0,1.0,LR,True
1499674576.3046484,55.455819999999996,1424.0,1.0,LR,False
1499674596.4138632,75.565035,1753.0,1.0,LR,True
1499674596.701975,75.85314699999999,1758.0,1.0,LR,False
1499674611.4381607,90.589332,2000.0,1.0,UL,True
1499674611.8698854,91.021057,2007.0,1.0,UL,False
1499674615.673403,94.824575,2070.0,1.0,UL,True
1499674618.2497141,97.400886,2112.0,1.0,UL,False
1499674620.5927393,99.743911,2151.0,1.0,UL,True
1499674620.9139519,100.065124,2156.0,1.0,UL,False
1499674666.2715292,145.422701,2901.0,1.0,LR,True
1499674666.624174,145.775345,2907.0,1.0,LR,False
1499674667.2220745,146.373246,2917.0,1.0,LR,True
1499674671.3900506,150.541222,2985.0,1.0,LR,False
1499674673.4402785,152.59145,3019.0,1.0,LR,True
1499674674.9991255,154.150297,3045.0,1.0,LR,False
1499674688.6781151,167.82928700000002,3270.0,1.0,UL,True
1499674693.8088102,172.959982,3354.0,1.0,UL,False
1499674717.599867,196.751039,3744.0,1.0,UL,True
1499674717.7528265,196.903998,3747.0,1.0,UL,False
1499674727.788085,206.939257,3912.0,1.0,LR,True
1499674729.7772546,208.928426,3945.0,1.0,LR,False
1499674738.702216,217.853388,4091.0,1.0,LR,True
1499674738.8987837,218.04995499999998,4095.0,1.0,LR,False
1499674739.3346796,218.48585099999997,4102.0,1.0,LR,True
1499674742.4441895,221.595361,4153.0,1.0,LR,False
1499674767.6152391,246.76641099999998,4565.0,1.0,UL,True
1499674767.842841,246.994012,4569.0,1.0,UL,False
1499674768.3928108,247.54398199999997,4578.0,1.0,UL,True
1499674770.7979512,249.949123,4617.0,1.0,UL,False
1499674781.2181392,260.36931,4789.0,1.0,LR,True
1499674781.8365762,260.987249,4799.0,1.0,LR,False
1499674782.5004964,261.65166800000003,4810.0,1.0,LR,True
1499674784.1471784,263.29835,4837.0,1.0,LR,False
