wall_time,trial_time,frame,sequence_nr,type,start_stop
1499787808.6429558,0.0,162.0,1.0,TR,True
1499787810.8389547,2.196998,193.0,1.0,LL,True
1499787811.6869552,3.0449990000000002,205.0,1.0,LL,False
1499787814.5039582,5.8620019999999995,242.0,1.0,LR,True
1499787815.079959,6.437003,250.0,1.0,LR,False
1499787823.3969562,14.755,362.0,1.0,LL,True
1499787828.4039571,19.762,431.0,1.0,LL,False
1499787831.0479574,22.405,464.0,1.0,LR,True
1499787840.10196,31.460003999999998,588.0,1.0,LR,False
1499787843.7969573,35.155001,638.0,1.0,LL,True
1499787845.7439606,37.102004,664.0,1.0,LL,False
1499787846.2499573,37.608001,671.0,1.0,LL,True
1499787848.549959,39.908002,703.0,1.0,LL,False
1499787854.293959,45.652002,780.0,1.0,LR,True
1499787855.2639606,46.622004,793.0,1.0,LR,False
1499787886.6289618,77.98700600000002,1223.0,1.0,LR,True
1499787889.3509605,80.70900400000002,1259.0,1.0,LR,False
1499787889.751961,81.110005,1265.0,1.0,LR,True
1499787894.7429626,86.10100600000001,1331.0,1.0,LR,False
1499787895.0769718,86.435015,1336.0,1.0,LR,True
1499787896.3569634,87.715007,1353.0,1.0,LR,False
1499787933.1109645,124.469008,1851.0,1.0,LR,True
1499787939.750967,131.109011,1938.0,1.0,LR,False
1499787941.4639661,132.82201,1963.0,1.0,LL,True
1499787948.1319664,139.49001,2056.0,1.0,LL,False
1499787955.430969,146.789012,2154.0,1.0,LL,True
1499787965.5909686,156.949012,2291.0,1.0,LL,False
1499788013.6699705,205.02801399999998,2940.0,1.0,LR,True
1499788016.7269714,208.085015,2982.0,1.0,LR,False
1499788017.3499734,208.70801699999998,2990.0,1.0,LR,True
1499788018.4069715,209.76501499999998,3004.0,1.0,LR,False
1499788021.2929714,212.651015,3042.0,1.0,LR,True
1499788021.5429714,212.901015,3046.0,1.0,LR,False
1499788021.5589721,212.91701600000002,3046.0,1.0,LR,True
1499788023.6699731,215.028017,3076.0,1.0,LR,False
1499788024.3719714,215.73001499999998,3086.0,1.0,LL,True
1499788030.680972,222.039016,3172.0,1.0,LL,False
1499788046.813975,238.172019,3390.0,1.0,LL,True
1499788056.0879738,247.44601699999998,3520.0,1.0,LL,False
1499788056.4369738,247.795017,3525.0,1.0,LR,True
1499788063.6879745,255.046018,3624.0,1.0,LR,False
1499788102.3269782,293.685022,4152.0,1.0,LR,True
1499788104.6599786,296.01802299999997,4183.0,1.0,LR,False
1499788106.726979,298.0850220000001,4212.0,1.0,LL,True
1499788108.995981,300.354025,4243.0,1.0,LL,False
1499788110.1349804,301.49302400000005,4258.0,1.0,TR,False
1499788666.3235385,0.0,4454.0,2.0,TR,True
1499788668.1175375,1.7939990000000001,4476.0,2.0,LR,True
1499788672.24754,5.924002,4527.0,2.0,LR,False
1499788674.71154,8.388001,4556.0,2.0,LR,True
1499788674.99654,8.673002,4560.0,2.0,LR,False
1499788676.1515384,9.828,4574.0,2.0,LL,True
1499788679.6865401,13.363002,4617.0,2.0,LL,False
1499788679.94354,13.620002,4621.0,2.0,LL,True
1499788681.59154,15.268002,4641.0,2.0,LL,False
1499788719.5885437,53.265005,5103.0,2.0,LR,True
1499788725.4145427,59.09100400000001,5172.0,2.0,LR,False
1499788725.8965447,59.57300600000001,5177.0,2.0,LR,True
1499788735.2395475,68.916009,5291.0,2.0,LR,False
1499788741.975545,75.652006,5373.0,2.0,LR,True
1499788744.6285448,78.305006,5406.0,2.0,LR,False
1499788760.455547,94.132009,5601.0,2.0,LL,True
1499788763.3485453,97.02500699999999,5637.0,2.0,LL,False
1499788763.4635468,97.140008,5638.0,2.0,LL,True
1499788771.222546,104.89900800000001,5733.0,2.0,LL,False
1499788771.9405472,105.61700900000001,5742.0,2.0,LR,True
1499788775.3865464,109.06300800000001,5780.0,2.0,LR,False
1499788806.4285498,140.10501100000002,6156.0,2.0,LL,True
1499788806.885549,140.562011,6162.0,2.0,LL,False
1499788810.7055519,144.381012,6209.0,2.0,LL,True
1499788811.9535527,145.630014,6224.0,2.0,LL,False
1499788812.8855493,146.562011,6236.0,2.0,LL,True
1499788818.5945506,152.271012,6306.0,2.0,LL,False
1499788819.78155,153.45801200000002,6320.0,2.0,LL,True
1499788820.2605498,153.937011,6326.0,2.0,LL,False
1499788821.9615517,155.637014,6347.0,2.0,LL,True
1499788826.7695515,160.446013,6406.0,2.0,LL,False
1499788835.3515515,169.028013,6512.0,2.0,LR,True
1499788839.0635526,172.740014,6557.0,2.0,LR,False
1499788899.543557,233.220018,7290.0,2.0,LL,True
1499788906.4205596,240.09601899999998,7375.0,2.0,LL,False
1499788908.3115573,241.988019,7398.0,2.0,LR,True
1499788909.749557,243.42601800000003,7416.0,2.0,LR,False
1499788913.796558,247.47302000000002,7466.0,2.0,LR,True
1499788946.3095596,279.986021,7864.0,2.0,LR,False
1499788967.3835635,301.060025,8106.0,2.0,TR,False
1499789472.0694735,0.0,8310.0,3.0,TR,True
1499789472.5524724,0.482999,8316.0,3.0,LL,True
1499789478.4874759,6.418003,8388.0,3.0,LL,False
1499789478.8734727,6.803999,8393.0,3.0,LL,True
1499789516.965475,44.896002,8854.0,3.0,LL,False
1499789517.3804753,45.311002,8859.0,3.0,LL,True
1499789524.857477,52.788003,8950.0,3.0,LL,False
1499789525.7174795,53.648006,8961.0,3.0,LL,True
1499789580.6774812,108.60800800000001,9626.0,3.0,LL,False
1499789622.7794847,150.710011,10143.0,3.0,LL,True
1499789636.2124865,164.143013,10309.0,3.0,LL,False
1499789638.3434856,166.274012,10335.0,3.0,LL,True
1499789643.9114854,171.842012,10404.0,3.0,LL,False
1499789645.3644862,173.29501299999995,10422.0,3.0,LR,True
1499789677.332491,205.263017,10811.0,3.0,LR,False
1499789677.9564884,205.887015,10819.0,3.0,LR,True
1499789686.7114902,214.642016,10925.0,3.0,LR,False
1499789686.9044886,214.835015,10927.0,3.0,LR,True
1499789688.9844894,216.915016,10953.0,3.0,LR,False
1499789691.1604884,219.091015,10979.0,3.0,LR,True
1499789698.0394902,225.97001699999998,11063.0,3.0,LR,False
1499789698.4684894,226.39901600000002,11069.0,3.0,LR,True
1499789698.9494905,226.88001699999998,11075.0,3.0,LR,False
1499789700.0874915,228.018018,11089.0,3.0,LL,True
1499789704.391491,232.322017,11140.0,3.0,LL,False
1499789724.6634912,252.594018,11388.0,3.0,LL,True
1499789732.5804932,260.51102000000003,11486.0,3.0,LL,False
1499789733.735494,261.66602,11500.0,3.0,LR,True
1499789740.3764935,268.30702,11582.0,3.0,LR,False
1499789740.6124933,268.54302,11585.0,3.0,LR,True
1499789771.0924973,299.023024,11957.0,3.0,LR,False
1499789773.2234952,301.154022,11982.0,3.0,TR,False
1499790287.6259048,0.0,12189.0,4.0,TR,True
1499790288.2159052,0.590001,12196.0,4.0,LL,True
1499790291.573906,3.948001,12238.0,4.0,LL,False
1499790292.6329048,5.007,12249.0,4.0,LR,True
1499790299.443906,11.818002,12333.0,4.0,LR,False
1499790300.4559054,12.830001,12345.0,4.0,LR,True
1499790303.291909,15.666004000000001,12378.0,4.0,LR,False
1499790303.9729052,16.347001000000002,12387.0,4.0,LR,True
1499790308.3759055,20.750001,12441.0,4.0,LR,False
1499790308.9239097,21.298005,12445.0,4.0,LR,True
1499790310.7889063,23.163002,12469.0,4.0,LR,False
1499790311.7999058,24.174001,12481.0,4.0,LR,True
1499790315.1599073,27.534003000000002,12523.0,4.0,LR,False
1499790315.8919072,28.266003,12532.0,4.0,LR,True
1499790334.7769082,47.151004,12765.0,4.0,LR,False
1499790336.4079096,48.782005,12785.0,4.0,LL,True
1499790358.6929116,71.06700699999998,13059.0,4.0,LL,False
1499790359.7479105,72.122006,13070.0,4.0,LR,True
1499790360.8049116,73.179007,13081.0,4.0,LR,False
1499790385.2849126,97.659008,13377.0,4.0,LL,True
1499790386.2979114,98.672007,13389.0,4.0,LL,False
1499790387.689914,100.063007,13406.0,4.0,LL,True
1499790387.8129134,100.187009,13408.0,4.0,LL,False
1499790387.8789127,100.253008,13409.0,4.0,LR,True
1499790389.1109128,101.485008,13423.0,4.0,LR,False
1499790389.9899125,102.364008,13435.0,4.0,LR,True
