Epoch,train_loss,train mae,train acc,train auc,val_loss,val mae,val acc,val auc
1,0.44419032,0.32686368,0.8058552,0.9302195104846063,0.34746417,0.26780793,0.88642526,0.9586516140193639
2,0.38583046,0.28951406,0.85399747,0.9637355350041092,0.32461038,0.24605899,0.88799703,0.9625129014992577
3,0.36788395,0.2787528,0.8685687,0.9691903307170673,0.3138851,0.2470756,0.9167114,0.9658040080435959
4,0.36556664,0.2764066,0.8775687,0.9698971690161197,0.32928202,0.25820115,0.91928285,0.9653039222733842
5,0.35567594,0.2701123,0.8738544,0.971140742316679,0.3111317,0.23284751,0.89385444,0.9711082038714048
6,0.35471478,0.26812744,0.88185436,0.9722166285923796,0.31271788,0.23520051,0.89442575,0.9700813168087181
7,0.35401827,0.26640925,0.8741401,0.9725353703118815,0.29151443,0.22915392,0.92471135,0.9680585056610053
8,0.34420463,0.26120815,0.8869979,0.9715381465611794,0.2960519,0.23587582,0.9281403,0.9701471431578794
9,0.42324027,0.3076562,0.82566774,0.9664143290801224,0.3232954,0.25477958,0.9180013,0.9676709398989192
10,0.40944952,0.30141437,0.8326673,0.9725321212736784,0.2722117,0.21687128,0.93733484,0.9735017391409702
11,0.4018792,0.29603493,0.84366775,0.973735600973901,0.27474377,0.21162048,0.92066807,0.9644514490394009
12,0.4103609,0.29895484,0.83833385,0.9749237600626688,0.31499562,0.23111744,0.8873349,0.9575366694823104
13,0.38758644,0.28635806,0.85933435,0.9719989048591107,0.27553695,0.21739896,0.93566805,0.9716956546489661
14,0.41199377,0.29995102,0.8456681,0.969048543728597,0.2745835,0.21542951,0.9286679,0.972268915116812
15,0.39878768,0.29198143,0.85400075,0.9730193835346638,0.2874539,0.22750506,0.92900133,0.969374516869402
16,0.3952316,0.291905,0.85366803,0.9730304275660159,0.2640173,0.20299481,0.92866766,0.9658696445545899
17,0.38881922,0.28592062,0.85066736,0.9702403080872914,0.28695554,0.21999604,0.91100115,0.9712632083841974
18,0.39930215,0.2913831,0.8513345,0.9693256539698522,0.28813714,0.2268495,0.9290012,0.9674124845594194
19,0.40842885,0.29678828,0.85366803,0.971244687176551,0.3063617,0.23816034,0.91700155,0.9631701408222189
20,0.40355715,0.29413995,0.8490008,0.968676588150992,0.29142305,0.22424419,0.91866803,0.9654490672890956
21,0.38966012,0.28593943,0.8483343,0.9709938537607444,0.31055614,0.24516173,0.9253343,0.9650245608857904
22,0.39665872,0.29012862,0.84733427,0.9672981256504433,0.2799611,0.22519042,0.9420011,0.9763218394412948
23,0.3831844,0.28374165,0.8573349,0.973884180093929,0.27533978,0.21525648,0.93466765,0.9673676235533796
24,0.3769926,0.2780274,0.86166716,0.9776039700035357,0.2905966,0.22889525,0.93066794,0.9691279963253017
25,0.40202606,0.29393545,0.84833425,0.9731047075417307,0.30357546,0.23911382,0.9283348,0.9661308719216262
26,0.39026636,0.28624988,0.85333455,0.9734005199598394,0.31525785,0.2431531,0.9123349,0.9658104976901285
27,0.39511645,0.28746873,0.8450011,0.9662960724514188,0.33866596,0.26203206,0.91166806,0.9629058781535058
28,0.3894119,0.28699142,0.85800135,0.9768767096046297,0.29772648,0.23827311,0.93400127,0.9742568622384149
29,0.37904745,0.28066725,0.8573345,0.9735486464906925,0.29162702,0.23392774,0.935001,0.974509594026815
